iter	Passed	Remaining
179	2273	10356
180	2283	10332
181	2293	10307
182	2304	10286
183	2314	10263
184	2324	10238
185	2335	10220
186	2346	10200
187	2358	10186
188	2368	10164
189	2379	10146
190	2389	10121
191	2400	10100
192	2410	10077
193	2420	10054
194	2430	10034
195	2440	10010
196	2451	9991
197	2461	9971
198	2471	9949
199	2482	9930
200	2493	9911
201	2503	9889
202	2516	9879
203	2526	9859
204	2536	9837
205	2547	9818
206	2557	9796
207	2567	9777
208	2578	9758
209	2589	9740
210	2599	9719
211	2610	9702
212	2620	9681
213	2630	9660
214	2640	9642
215	2650	9620
216	2662	9606
217	2673	9589
218	2684	9573
219	2693	9550
220	2704	9534
221	2715	9515
222	2724	9494
223	2735	9476
224	2745	9455
225	2756	9439
226	2767	9423
227	2777	9404
228	2788	9386
229	2798	9367
230	2808	9350
231	2820	9338
232	2832	9322
233	2841	9302
234	2852	9284
235	2862	9267
236	2872	9247
237	2882	9230
238	2893	9211
239	2902	9191
240	2913	9175
241	2922	9155
242	2934	9140
243	2945	9126
244	2957	9113
245	2967	9095
246	2978	9080
247	2988	9061
248	2998	9043
249	3009	9028
250	3019	9009
251	3030	8994
252	3040	8977
253	3050	8959
254	3061	8944
255	3072	8928
256	3081	8909
257	3094	8899
258	3104	8882
259	3114	8864
260	3126	8851
261	3136	8835
262	3146	8817
263	3157	8802
264	3168	8788
265	3178	8771
266	3189	8755
267	3199	8738
268	3209	8721
269	3220	8706
270	3230	8689
271	3241	8676
272	3253	8664
273	3265	8651
274	3275	8634
275	3285	8618
276	3295	8602
277	3305	8584
278	3316	8569
279	3326	8553
280	3336	8536
281	3347	8522
282	3357	8505
283	3368	8492
284	3379	8478
285	3392	8468
286	3402	8452
287	3413	8438
288	3424	8424
289	3433	8406
290	3444	8391
291	3453	8374
292	3464	8359
293	3474	8344
294	3484	8328
295	3495	8312
296	3505	8296
297	3515	8281
298	3526	8268
299	3537	8253
300	3548	8239
301	3559	8227
302	3571	8215
303	3581	8198
304	3592	8185
305	3602	8171
306	3612	8155
307	3623	8142
308	3634	8127
309	3643	8110
310	3654	8096
311	3663	8079
312	3674	8066
313	3685	8051
314	3695	8035
315	3707	8025
316	3719	8014
317	3729	7998
318	3739	7983
319	3750	7970
320	3760	7954
321	3770	7940
322	3781	7925
323	3791	7911
324	3802	7897
325	3813	7883
326	3822	7867
327	3832	7852
328	3842	7836
329	3852	7821
330	3864	7811
331	3874	7796
332	3885	7781
333	3896	7769
334	3907	7756
335	3917	7741
336	3929	7730
337	3938	7714
338	3948	7698
339	3958	7685
340	3968	7669
341	3979	7655
342	3989	7641
343	3999	7627
344	4010	7613
345	4023	7604
346	4032	7587
347	4043	7575
348	4054	7562
349	4064	7547
350	4074	7534
351	4085	7521
352	4095	7506
353	4107	7494
354	4117	7481
355	4127	7466
356	4138	7453
357	4148	7439
358	4160	7428
359	4171	7415
360	4182	7402
361	4192	7388
362	4203	7376
363	4213	7361
364	4222	7346
365	4233	7332
366	4243	7318
367	4253	7305
368	4264	7292
369	4274	7278
370	4285	7265
371	4299	7258
372	4311	7247
373	4320	7232
374	4331	7218
375	4342	7206
376	4352	7191
377	4362	7178
378	4372	7164
379	4383	7151
380	4394	7139
381	4404	7124
382	4413	7110
383	4424	7097
384	4434	7083
385	4446	7073
386	4457	7060
387	4467	7046
388	4478	7033
389	4488	7021
390	4498	7006
391	4508	6993
392	4519	6980
393	4529	6966
394	4540	6954
395	4549	6939
396	4559	6925
397	4569	6912
398	4579	6898
399	4590	6886
400	4604	6877
401	4614	6863
402	4624	6850
403	4635	6838
404	4644	6823
405	4655	6810
